BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,APPDATE,CITY,STATE,DIVISION,REGION,Upper state,State_1,Records
1,3500,23200,38666,HomeImp,Other,11,0,0,162.3666667,0,14,,22056,fowler,Colorado,Mountain,West,COLORADO,CO,1
1,3500,19400,20494,HomeImp,Other,5,0,0,95.93333333,0,9,,21505,hamilton,Virginia,South Atlantic,South,VIRGINIA,VA,1
1,3600,61584,61800,HomeImp,ProfExe,10,,,,,,,21388,lindsborg,Kansas,West North Central,Midwest,KANSAS,KS,1
1,3600,41900,52490,HomeImp,Mgr,3,0,0,72.03333333,2,4,,22096,buford,Georgia,South Atlantic,South,GEORGIA,GA,1
0,3600,83700,111800,HomeImp,ProfExe,6,0,0,192.7333333,1,28,,21268,de soto,Missouri,West North Central,Midwest,MISSOURI,MO,1
0,3600,61327,76484,HomeImp,Mgr,9,,2,202.5107752,0,25,41.5163897,22095,west lafayette,Indiana,East North Central,Midwest,INDIANA,IN,1
0,3600,100693,114743,HomeImp,Office,6,0,0,88.47045214,0,14,29.39354338,22018,mount dora,Florida,South Atlantic,South,FLORIDA,FL,1
1,3600,48507,61000,DebtCon,Office,13,1,4,97.4,0,17,,21021,hephzibah,Georgia,South Atlantic,South,GEORGIA,GA,1
0,3600,52337,63989,HomeImp,Office,20,0,0,204.2724988,0,20,20.47091551,21235,north royalton,Ohio,East North Central,Midwest,OHIO,OH,1
1,3700,17857,21144,HomeImp,Other,5,0,0,129.7173231,1,9,26.63434752,21076,westminster,California,Pacific,West,CALIFORNIA,CA,1
1,3800,19135,97692,HomeImp,Mgr,1.6,1,6,252.6333333,1,25,,21211,marthasville,Missouri,West North Central,Midwest,MISSOURI,MO,1
0,3800,51180,63459,HomeImp,Office,20,0,0,203.7515336,0,20,20.06704205,21024,hamlin,Texas,West South Central,South,TEXAS,TX,1
0,3800,,73189,,,,,,,,,22.25394916,21798,monroe,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
0,3800,11543,46045,HomeImp,Self,,0,0,204.6479917,0,11,42.17316588,20962,bremerton,Washington,Pacific,West,WASHINGTON,WA,1
1,3900,29896,45960,HomeImp,Other,11,0,0,146.1232422,0,14,24.47888119,21079,de witt,Nebraska,West North Central,Midwest,NEBRASKA,NE,1
1,3900,14500,22092,HomeImp,Other,3.5,0,1,150.3,5,8,,21360,cedarburg,Wisconsin,East North Central,Midwest,WISCONSIN,WI,1
0,3900,52825,63000,DebtCon,ProfExe,8,0,4,171.6666667,1,31,,22448,hibbing,Minnesota,West North Central,Midwest,MINNESOTA,MN,1
0,3900,102143,118742,HomeImp,Office,2,0,0,85.27736558,0,13,29.34392109,22611,muskegon,Michigan,East North Central,Midwest,MICHIGAN,MI,1
1,3900,21200,39000,DebtCon,Mgr,4,0,1,86.56666667,2,14,,21077,hingham,Massachusetts,New England,Northeast,MASSACHUSETTS,MA,1
0,4000,105164,112774,HomeImp,Office,1,0,0,94.72487417,0,13,29.39092806,20916,owenton,Kentucky,East South Central,South,KENTUCKY,KY,1
0,4000,54543,61777,HomeImp,Office,21,0,0,205.58668,0,19,21.80656346,21149,chesterfield,Missouri,West North Central,Midwest,MISSOURI,MO,1
1,4000,,80609,HomeImp,Other,1.5,0,2,126.5333333,3,12,,22230,chester,Massachusetts,New England,Northeast,MASSACHUSETTS,MA,1
1,4000,26572,31960,HomeImp,Office,11,0,0,117.7951039,0,8,41.28649195,21925,mcminnville,Tennessee,East South Central,South,TENNESSEE,TN,1
1,4000,17000,52012,HomeImp,ProfExe,22,3,1,85.33333333,1,9,,20831,ocean springs,Mississippi,East South Central,South,MISSISSIPPI,MS,1
1,4000,29562,37200,DebtCon,Other,6,0,0,92.13333333,1,26,,21865,westminster,California,Pacific,West,CALIFORNIA,CA,1
1,4000,41700,76725,HomeImp,Other,0.5,0,3,136.1333333,0,15,,21226,holland,Michigan,East North Central,Midwest,MICHIGAN,MI,1
1,4000,58000,69440,HomeImp,Other,3.5,0,1,168.6666667,0,18,,21990,hazelwood,Missouri,West North Central,Midwest,MISSOURI,MO,1
1,4000,5700,18000,DebtCon,Other,,0,0,12.2,0,17,,22156,nyssa,Oregon,Pacific,West,OREGON,OR,1
1,4000,45000,58350,HomeImp,Mgr,3.5,0,0,162,3,16,,20858,waymart,Pennsylvania,Middle Atlantic,Northeast,PENNSYLVANIA,PA,1
1,4000,7000,16020,HomeImp,Other,18,0,1,85.8,2,23,,21144,hiddenite,North Carolina,South Atlantic,South,NORTH CAROLINA,NC,1
0,4000,66000,79050,HomeImp,Other,1.8,2,0,279,1,6,,21343,hartwell,Georgia,South Atlantic,South,GEORGIA,GA,1
0,4000,,45760,HomeImp,,0,0,0,,0,0,,22077,hawaiian gardens,California,Pacific,West,CALIFORNIA,CA,1
0,4000,62000,78000,HomeImp,Other,4,0,0,109.5666667,0,15,,22455,chapel hill,North Carolina,South Atlantic,South,NORTH CAROLINA,NC,1
0,4000,64240,63990,HomeImp,Sales,5,2,0,160.3,1,23,,21380,maricopa,Arizona,Mountain,West,ARIZONA,AZ,1
1,4000,74000,93000,HomeImp,ProfExe,2.6,1,3,186.6333333,,9,,21720,hampstead,Maryland,South Atlantic,South,MARYLAND,MD,1
1,4000,55000,59000,DebtCon,Other,12,2,0,146.1,0,22,,21067,hinckley,Ohio,East North Central,Midwest,OHIO,OH,1
0,4000,67625,80698,HomeImp,Mgr,11,,1,212.3493039,0,25,39.12871763,21701,mountain home,Idaho,Mountain,West,IDAHO,ID,1
0,4000,67533,71865,HomeImp,Mgr,10,,2,227.7929884,0,25,39.1663287,21580,york,Nebraska,West North Central,Midwest,NEBRASKA,NE,1
1,4100,,19132,HomeImp,Other,0,0,0,100.7746522,0,19,33.8409199,20822,wayland,Michigan,East North Central,Midwest,MICHIGAN,MI,1
1,4100,58500,65000,HomeImp,Other,8,1,2,63.93333333,2,15,,21217,horsham,Pennsylvania,Middle Atlantic,Northeast,PENNSYLVANIA,PA,1
0,4100,57992,63797,DebtCon,ProfExe,7,0,4,165.505037,1,31,22.27817437,22209,harvey,Illinois,East North Central,Midwest,ILLINOIS,IL,1
0,4200,56544,59218,HomeImp,Office,19,0,0,211.0025991,1,20,19.02770443,20890,watertown,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
1,4200,34800,50225,HomeImp,Other,2,1,0,93.5,1,5,,22170,west palm beach,Florida,South Atlantic,South,FLORIDA,FL,1
0,4200,67700,77000,DebtCon,Sales,4,0,0,128.8333333,0,31,,22231,maplewood,New Jersey,Middle Atlantic,Northeast,NEW JERSEY,NJ,1
0,4200,44000,55085,DebtCon,,6,,1,75.43333333,,16,,22099,hemet,California,Pacific,West,CALIFORNIA,CA,1
0,4200,66272,82953,HomeImp,Other,3,0,0,110.2786626,0,15,43.45058791,22393,flagstaff,Arizona,Mountain,West,ARIZONA,AZ,1
0,4200,50216,58541,HomeImp,Office,19,0,0,209.8713022,0,19,20.20803267,21951,liverpool,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
0,4300,71206,78698,DebtCon,Sales,3,0,0,129.932869,0,31,34.18137652,21758,hobe sound,Florida,South Atlantic,South,FLORIDA,FL,1
0,4300,68815,79852,HomeImp,Other,6,0,0,105.1207088,0,14,41.80637615,21603,whitman,Massachusetts,New England,Northeast,MASSACHUSETTS,MA,1
0,4300,72021,80027,HomeImp,Other,2,2,0,263.9703003,0,5,36.43209394,21659,oakland,Maryland,South Atlantic,South,MARYLAND,MD,1
0,4400,53969,63869,DebtCon,ProfExe,7,0,3,162.3900107,0,30,23.58107924,22252,live oak,Florida,South Atlantic,South,FLORIDA,FL,1
0,4400,,60250,,,,,,,,,,22104,wildomar,California,Pacific,West,CALIFORNIA,CA,1
1,4400,53091,64074,DebtCon,Office,14,1,3,89.86105825,0,17,39.15808483,22280,mason city,Iowa,West North Central,Midwest,IOWA,IA,1
0,4500,66127,79087,HomeImp,Other,4,1,0,81.3490651,0,15,40.70530876,20995,oradell,New Jersey,Middle Atlantic,Northeast,NEW JERSEY,NJ,1
0,4500,,77182,,,,,,,,,25.2272529,21197,woodbridge,California,Pacific,West,CALIFORNIA,CA,1
1,4500,39000,66000,HomeImp,Other,1,0,0,170.3666667,1,19,,21287,white plains,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
0,4500,71082,79247,HomeImp,Other,4,0,0,118.7604101,0,14,41.42111052,22411,north rose,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
0,4500,,49044,HomeImp,,0,0,0,,0,0,11.6527388,21045,okanogan,Washington,Pacific,West,WASHINGTON,WA,1
1,4500,57000,,HomeImp,Other,5,,,222.6,1,13,,22413,mohnton,Pennsylvania,Middle Atlantic,Northeast,PENNSYLVANIA,PA,1
1,4500,34184,46000,HomeImp,Mgr,3.5,0,1,122.6,2,22,,21740,himrod,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
1,4500,66517,87000,DebtCon,ProfExe,10,0,4,125.8,0,34,,21549,hope mills,North Carolina,South Atlantic,South,NORTH CAROLINA,NC,1
0,4500,45500,50000,HomeImp,Other,6,0,0,86.16666667,0,18,,21577,wichita falls,Texas,West South Central,South,TEXAS,TX,1
1,4500,118000,146870,HomeImp,ProfExe,4.5,2,0,203.8666667,1,20,,21379,alexander city,Alabama,East South Central,South,ALABAMA,AL,1
1,4500,90000,105800,HomeImp,Other,6,2,3,80.1,3,10,,21473,arvada,Colorado,Mountain,West,COLORADO,CO,1
0,4700,67913,97205,,Mgr,2,0,0,142.8243915,0,24,35.22699719,21508,wayzata,Minnesota,West North Central,Midwest,MINNESOTA,MN,1
0,4700,71855,88566,HomeImp,Other,2,2,0,283.9595381,0,5,36.47547328,21125,neptune,New Jersey,Middle Atlantic,Northeast,NEW JERSEY,NJ,1
0,4700,53918,59511,DebtCon,,6,,0,54.13647743,,15,34.41650781,21325,new hartford,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
1,4700,49100,58238,HomeImp,ProfExe,0.1,0,0,61.8,2,17,,22468,murrells inlet,South Carolina,South Atlantic,South,SOUTH CAROLINA,SC,1
0,4700,88026,115506,HomeImp,ProfExe,6,0,0,182.2483316,0,27,29.20902258,21512,craig,Colorado,Mountain,West,COLORADO,CO,1
1,4700,26900,45000,HomeImp,ProfExe,9,1,2,90.46666667,1,16,,21074,wilmington,California,Pacific,West,CALIFORNIA,CA,1
0,4800,67317,97191,,Mgr,3,0,0,137.3197248,0,23,34.27529378,20921,hermosa beach,California,Pacific,West,CALIFORNIA,CA,1
0,4800,56067,63102,DebtCon,ProfExe,9,0,3,160.1463113,1,30,21.58376012,20854,nogales,Arizona,Mountain,West,ARIZONA,AZ,1
0,4800,80482,88342,HomeImp,ProfExe,7,0,0,275.0323948,0,11,43.71763511,21242,loganville,Georgia,South Atlantic,South,GEORGIA,GA,1
0,4900,58688,63348,DebtCon,ProfExe,9,0,3,179.1625747,2,31,22.54439284,22493,cleveland,Georgia,South Atlantic,South,GEORGIA,GA,1
0,4900,65873,90408,,Mgr,2,0,0,141.858999,0,23,37.76961861,22536,olney,Maryland,South Atlantic,South,MARYLAND,MD,1
1,4900,25597,23031,HomeImp,Other,5,0,0,101.7467664,0,8,33.24315698,21729,west new york,New Jersey,Middle Atlantic,Northeast,NEW JERSEY,NJ,1
0,4900,67794,84630,HomeImp,Other,4,0,0,112.5734189,0,15,41.67399636,22495,miami,Florida,South Atlantic,South,FLORIDA,FL,1
1,4900,44000,59745,HomeImp,Other,10,0,0,81.5,3,13,,22268,webb,Alabama,East South Central,South,ALABAMA,AL,1
0,4900,,28437.5,HomeImp,,,,,,,,,21201,oklahoma city,Oklahoma,West South Central,South,OKLAHOMA,OK,1
0,4900,170986,245300,DebtCon,Sales,,0,0,131.9333333,0,22,,21703,winter park,Florida,South Atlantic,South,FLORIDA,FL,1
1,4900,65576,65774,HomeImp,Other,6,1,2,61.64250608,1,14,40.59091002,21599,little falls,Minnesota,West North Central,Midwest,MINNESOTA,MN,1
0,4900,57461,68494,DebtCon,ProfExe,8,0,4,183.6356132,0,30,22.79542355,21366,oregon,Wisconsin,East North Central,Midwest,WISCONSIN,WI,1
0,4900,,69706,,,,,,,,,33.70558774,21485,waverly,Ohio,East North Central,Midwest,OHIO,OH,1
0,5000,,34846,HomeImp,,,,,,,,33.35465263,22213,watervliet,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
0,5000,47479,61690,DebtCon,,5,,0,65.03296901,,16,36.69941492,21633,augusta,Maine,New England,Northeast,MAINE,ME,1
0,5000,66839,87168,HomeImp,Other,4,0,0,122.5972226,0,15,40.61677935,22570,wittman,Maryland,South Atlantic,South,MARYLAND,MD,1
0,5000,12457,53448,HomeImp,Self,,0,0,207.1434813,0,12,44.10795169,20820,north tonawanda,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
0,5000,90059,113714,HomeImp,ProfExe,7,0,0,193.6364469,0,28,25.89731648,20902,norwell,Massachusetts,New England,Northeast,MASSACHUSETTS,MA,1
1,5000,22320,34900,HomeImp,Other,10,0,0,65.7,1,5,,21807,hawthorne,New Jersey,Middle Atlantic,Northeast,NEW JERSEY,NJ,1
1,5000,40000,70500,HomeImp,Mgr,0.4,0,0,61.76666667,2,8,,21498,oak park,Illinois,East North Central,Midwest,ILLINOIS,IL,1
1,5000,100882,102700,HomeImp,Mgr,5,0,1,58.86666667,0,16,,21888,hobe sound,Florida,South Atlantic,South,FLORIDA,FL,1
1,5000,31000,47350,HomeImp,ProfExe,12,,,,,,,21497,cove city,North Carolina,South Atlantic,South,NORTH CAROLINA,NC,1
1,5000,63125,126500,HomeImp,Office,3,0,0,100.3,0,14,,21948,holland,Ohio,East North Central,Midwest,OHIO,OH,1
1,5000,100000,129693.5,HomeImp,Mgr,13,,,,,,,22642,hanford,California,Pacific,West,CALIFORNIA,CA,1
1,5000,,132000,HomeImp,Other,17.5,0,2,121.9,0,14,,22200,winter park,Florida,South Atlantic,South,FLORIDA,FL,1
1,5000,,9100,HomeImp,Other,1,0,0,54.73333333,2,8,,21402,hamilton,Virginia,South Atlantic,South,VIRGINIA,VA,1
1,5000,34200,50830,HomeImp,Other,6,0,0,57,1,9,,21512,los angeles,California,Pacific,West,CALIFORNIA,CA,1
1,5000,,71277,HomeImp,Other,10,0,0,72.43333333,1,12,,22174,maryville,Tennessee,East South Central,South,TENNESSEE,TN,1
1,5000,123000,157500,HomeImp,Mgr,9,,,,,,,21799,waynesboro,Virginia,South Atlantic,South,VIRGINIA,VA,1
1,5000,16600,25250,HomeImp,Other,6,0,0,88.7,1,3,,21242,hinckley,Ohio,East North Central,Midwest,OHIO,OH,1
1,5000,,52000,HomeImp,Other,,0,1,285.3333333,0,6,,21000,hopkinsville,Kentucky,East South Central,South,KENTUCKY,KY,1
1,5000,22700,34225,HomeImp,Other,4,0,0,74.63333333,3,9,,21795,madison,Mississippi,East South Central,South,MISSISSIPPI,MS,1
1,5000,6000,38575,HomeImp,Self,7,0,1,335.0333333,3,42,,21864,waxahachie,Texas,West South Central,South,TEXAS,TX,1
1,5000,,74500,HomeImp,Other,19,,,,,,,21541,west covina,California,Pacific,West,CALIFORNIA,CA,1
1,5000,,94119,HomeImp,Other,19,,,,,,,21100,aumsville,Oregon,Pacific,West,OREGON,OR,1
0,5000,73126,87500,DebtCon,Other,1,0,0,125.9666667,2,10,,21833,oregon,Wisconsin,East North Central,Midwest,WISCONSIN,WI,1
0,5000,72517,86250,DebtCon,Mgr,19,0,1,300.3666667,1,24,,22143,west harrison,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
0,5000,26037,35000,HomeImp,ProfExe,12,0,0,182.6333333,0,13,,22530,westminster,Colorado,Mountain,West,COLORADO,CO,1
0,5000,39000,50340,HomeImp,Office,10,,,179.8333333,,19,,20840,holland,Michigan,East North Central,Midwest,MICHIGAN,MI,1
0,5000,,26550,DebtCon,Other,1.7,0,0,276.9666667,1,14,,21904,north tonawanda,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
0,5000,70470,77908,DebtCon,,5,,,,,,,21646,oakland,Maine,New England,Northeast,MAINE,ME,1
0,5000,,36375,HomeImp,Other,3,0,0,266.8,1,26,,21981,wheeling,Illinois,East North Central,Midwest,ILLINOIS,IL,1
0,5000,74225,89640,DebtCon,ProfExe,0.3,,,,,,,21539,buffalo,Missouri,West North Central,Midwest,MISSOURI,MO,1
0,5000,,65400,HomeImp,Office,1.5,0,0,51.76666667,0,4,,21835,new orleans,Louisiana,West South Central,South,LOUISIANA,LA,1
1,5000,,37500,HomeImp,Other,,0,3,107.1333333,10,5,,21557,oreland,Pennsylvania,Middle Atlantic,Northeast,PENNSYLVANIA,PA,1
0,5000,78565,98500,DebtCon,ProfExe,24,0,0,51.76666667,3,14,,21186,watertown,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
0,5000,59900,80800,DebtCon,ProfExe,15,0,0,219.1333333,1,18,,20851,marrero,Louisiana,West South Central,South,LOUISIANA,LA,1
1,5000,10171,26809,HomeImp,Office,13,3,6,228.3,0,24,,22268,north richland hill,Texas,West South Central,South,TEXAS,TX,1
1,5000,78893,82600,HomeImp,Mgr,16,0,0,133.9,1,34,,21252,havana,Illinois,East North Central,Midwest,ILLINOIS,IL,1
1,5000,85165,107940,HomeImp,Mgr,6,5,3,122.7666667,5,28,,22636,atwood,Kansas,West North Central,Midwest,KANSAS,KS,1
1,5000,68000,75616,DebtCon,ProfExe,0.1,0,0,131.8666667,0,30,,21705,hamlin,Texas,West South Central,South,TEXAS,TX,1
1,5000,71571,85100,DebtCon,ProfExe,1.4,0,1,82.13333333,0,13,,21652,west point,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
1,5000,28000,36810,DebtCon,Other,2,1,0,222.2,1,6,,21903,winnetka,California,Pacific,West,CALIFORNIA,CA,1
1,5000,40000,32480,HomeImp,Other,8,3,2,163.3666667,1,16,,21510,north tonawanda,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
1,5000,81748,,DebtCon,ProfExe,14,1,2,144.0666667,2,17,,21252,cairo,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
0,5000,44674,59375,HomeImp,Office,10,,,178.6925087,,19,26.44819746,22262,watervliet,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
1,5000,61999,75021.3,HomeImp,Other,5,0,0,97.1,0,23,,21667,north matewan,West Virginia,South Atlantic,South,WEST VIRGINIA,WV,1
0,5000,80153,97275,DebtCon,Other,1,0,0,120.6750632,2,10,37.51270841,21667,cottonwood,Arizona,Mountain,West,ARIZONA,AZ,1
0,5000,68739,93435,,Mgr,3,0,0,148.7204047,0,23,36.66927861,22620,westminster,California,Pacific,West,CALIFORNIA,CA,1
0,5000,51209,55320,DebtCon,,5,,1,69.1074656,,15,35.02507297,22101,dodge city,Kansas,West North Central,Midwest,KANSAS,KS,1
1,5000,46696,85202,HomeImp,Other,2,1,2,148.3406455,0,14,46.489874,20911,hope mills,North Carolina,South Atlantic,South,NORTH CAROLINA,NC,1
